Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,POP_NAME_SHORT,DISPLAY_ORDER,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2008,538,0.35,-99,-99,0.023809524,0.452380952,0.523809524,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2009,196,0.61,-99,-99,0.24137931,0.413793103,0.344827586,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2010,61,1,-99,-99,0,0.764705882,0.235294118,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2011,202,0.53,-99,-99,0.365079365,0.46031746,0.174603175,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2012,340,0.85,-99,-99,0.06547619,0.791666667,0.142857143,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2013,423,0.87,-99,-99,0.285714286,0.503968254,0.21031746,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2014,260,0.89,-99,-99,0.067961165,0.63592233,0.296116505,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2015,117,0.86,-99,-99,0.179775281,0.662921348,0.157303371,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2016,141,0.89,-99,-99,0.074766355,0.644859813,0.280373832,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2017,31,1,-99,-99,0.24137931,0.275862069,0.482758621,-99,-99,-99
ICSRSSchinookSurveySBT2020,Survey,Yearly reports,Shoshone-Bannock Tribe,99,"Salmon, Chinook (Snake River spring/summer-run ESU)",Upper Salmon,Yankee Fork,Chinook salmon,Yankee Fork,5.7,Spring,Yankee Fork,2018,56,0.88,-99,-99,0.095238095,0.833333333,0.071428571,-99,-99,-99
